"Edit","Select Next Element","⇧⌃→","Editing JavaScript Source"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing JavaScript Source"
"Refactor - Scala","Extract Method","⌥⌘M","Editing Scala Source"
"Run/Debug","Send Selection to Scala Interpreter","⇧⌘X","Editing Scala Source"
"Refactor - Scala","Extract Local","⌥⌘L","Editing Scala Source"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"Edit","Restore Last Selection","⇧⌃↓","Editing Java Source"
"Navigate","Open Type in Hierarchy","⇧⌘H","JavaScript View"
"Scala Editor","Show Type","⇧⌘W T","Editing Scala Source"
"Search","References in Workspace","⇧⌘G","JavaScript View"
"Search","Declaration in Workspace","⌘G","In Windows"
"Run/Debug","Debug JUnit Plug-in Test","⌃⌥⌘D P","In Windows"
"Task","New Local Task","⌥N","In Tasks View"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Run/Debug","Execute","⌘U","In Windows"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Task","Open Selected Task","⌘↩","In Tasks View"
"Source","Copy Qualified Name","⇧⌘C","Editing Java Source"
"Window","Show Contributing Plug-in","⇧⌥F3","In Dialogs and Windows"
"Text Editing","Scroll Line Down","⌃↓","Editing Text"
"Text Editing","Scroll Line Up","⌃↑","Editing Text"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Navigate","Quick Outline","⌘R","Editing JavaScript Source"
"Navigate","Open Type Hierarchy","F4","In Windows"
"File","Save All","⇧⌘S","In Windows"
"Refactor - JavaScript","Move - Refactoring ","⌥⌘V","JavaScript View"
"Edit","Undo","⌘Z","In Dialogs and Windows"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"Search","References in Workspace","⇧⌘G","In Windows"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Window","Next View","⌘F7","In Windows"
"Text Editing","Next Word","⌥→","Editing Text"
"Edit","Content Assist","⌃Space","In Dialogs and Windows"
"Window","Minimize","⌘M","In Windows"
"Navigate","Go to Line","⌃G","Editing Text"
"Edit","Select Next Element","⇧⌃→","Editing Java Source"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows"
"Run/Debug","Terminate","⌘F2","Debugging"
"Run/Debug","Step Over","F6","Debugging"
"Run/Debug","Java Breakpoint Properties","⌥↩","In Breakpoints View"
"Edit","Select Next Element","⇧⌃→","Editing in Structured Text Editors"
"Uncategorized","ToggleFullScreenEscape","Esc","In Windows"
"Run/Debug","Debug on Server","⇧⌥D R","In Windows"
"Web Page Editor Layout","Vertical Layout","⇧⌘F9","Using Web Page Editor"
"Source","Show Source Quick Menu","⌥⌘S","JavaScript View"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Run/Debug","Debug","⌘F11","In Windows"
"SQL Editor","Execute SQL","⌘↩","SQL Editor"
"Task","Mark Task Unread","⇧⌥U","In Tasks View"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"Scala Editor","Toggle Implicits Display","⇧⌘I","Editing Scala Source"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"SQL Editor","Execute SQL-Batch","⌥⌘E","SQL Editor"
"Server","Stop","⌥⌘S","In Servers View"
"Refactor - Scala","Inline Local","⌥⌘I","Editing Scala Source"
"Source","Remove Block Comment","⇧⌘\","Editing JavaScript Source"
"Web Page Editor Layout","Graphical Designer","⇧⌘F11","Using Web Page Editor"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Edit","Select Enclosing Element","⇧⌃↑","Editing Java Source"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Navigate","Open Resource","⌘T","In Windows"
"Edit","Select Enclosing Element","⇧⌃↑","Editing JavaScript Source"
"Navigate","Open Type","⇧⌘T","In Windows"
"Text Editing","Delete Line","⌘D","Editing Text"
"Edit","Quick Diff Toggle","⇧⌃Q","Editing Text"
"Navigate","Go to Next Member","⌃⌥↓","Editing JavaScript Source"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"AnyEdit Tools","Open Type under Cursor","⌃⌥T","Editing Text"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"File","Print","⌘P","In Windows"
"Edit","Next Sibling","⇧⌃↓","Editing in Structured Text Editors"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"Manifest Editor Source","Format Source","⇧⌘F","PDE editor"
"Source","Quick Assist - Assign to var","⌘2 F","Editing JavaScript Source"
